Etjuhundur	Sporhundur
Stormfugl	Lítt notað nýyrði um albatross
Skjákrummalegur	Er sá sem gleðst yfir öförum annarra
Fémær	Kvenþræll
Kókettera	Að daðra
Skeiðrúm	Forngrisk mælieining, um 192 metrar
Skylja	Súr mysa með uppleystum leifum af slátri eða svíðum sem legið hafa í henni
Staffirugur	Einbeittur eða ákveðinn
Díróið	Díróið þýðir „beint áfram"
Skeggávaldi	Skeggávaldi var vera sem talin var verndari útilegumanna
Vísendur	Frændur þess sem hefur vegið mann og eru skyldugir til að greiða bætur fyrir vigið
Gandála	Fjörleg stelpa eða skepna
Svartmari	Svört ský við hafsbrún
Sprokverskur	Sá sem slettir útlendum orðum
Fjaðrafokka	Kona sem er sífeldt á ferðinni
Frumsafrumsa	Fyrsti kálfur sem kýr eignast
Spóakríkur	Maður eða dýr með holdlítil læri
Kapróna	Hetta á kápu
Hortittur	Flís til að fylla í bil eða glufu á samskeytum
Kötlutangi	Er syðsti tangi meginlands
Blundskaka	Að skáskjóta augunum
Fylgnivilla	Rökvilla þar sem haldið er fram að atburður sé orsök annars atburðar sem gerist samtímis.
Brytjak	Kjötöxi
Heimiskviður	Dómur heimilisfólks um einhvern á heimilinu
Sólflúra	Fisktegund af flúruætt. Finnst ekki við Íslands.
Spækja	Boginn trjábútur eða grein
Stritla	Léleg mjólkurkýr
Stím	Glíma eða bardagi
Vösülfur	Maður sem atast í mörgu
Freyjukettir	Ástarglampar í augum elskenda
Dánumannstafl	Fornt tafl sem er spilað með þremur teningum
Eggelningur	Ljár með egg sem er ein alin að lengd
Drundhjassi	Feitur og rasspungur maður
Skóþræll	Spýta með gati á öðrum enda sem hæll passar í. Notað til að ná af sér þröngum stígvélum.
Náskári	Hrafn
Kretíni	Maður sem fæddur er með óstarfhæfan skjaldkirtil og er af þeim sökum vanþroskaður
Týhús	Vopnabúr
Svaðhófur	Ruddalegur maður. Dæmi: „Árni er drullusokkur og svaðhófur."
Nefönd	Hluti af nefholinu
Skeribakur	Silungur sem vegna smæðar sinnar er hæfilegur í tvo bita
Skírlifisnabbi	Lítil graftarbóla á hörundi manns
Vaktela	Lynghæna
Kampalampi	Rækjutegund sem algeng er við Ísland (á 50–700 metra dýpi)
Simul	Tröllkona
Ganga álbróka	Ganga örna sinna
Ælingi	Smáfiskur
Ósjötlaður	Fornt orð notað um það sem er óútkljáð, ekki er búið að setla
Dagskjarr	Sá sem er dagskjarr er ljósfælinn, hann skirrist við degi
Ordóvísíum	Eitt af sex tímabilum jarðsögunnar
Starfsismátt	Vinnuföt
Bekja	Nýyrði um bekken, skál fyrir þvag og hægðir sjúklings á sjúkrahúsi
Álheimur	Í fornu skáldamáli er álheimur notað um hafið, þ.e.a.s. sá staður þar sem álar búa.
Puðrureddi	Maður sem spilar sig sem stóran en er lítils verður í raun
Steinfella	Gamalt nýyrði yfir mósakmynd
Stóráni	Ánamaðkur sem getur orðið allt að 30 cm á lengd
Kovertur	Áklæði á hest
Nula	Að nula er að slóra eða slugsa
Skrunkur	Gamall karl
Ómpeyting	Sérstök tækni við að fjarlægia innihald augasteins úr sjúklingi
Heilivogur	Smyrsl með græðandi mátt
Hreingálkn	Ófreskja sem nefnd er í Sæmundar-Eddu
Unjan	Laukur, sbr. „onion"
Eiskra	Að vera trylltour og öskra af reiði
Skæfa	Höfskekkja
Goðalykill	Garðplöntutegund
Torfunári	Útjaðar fisktorfu
Andsyptir	Að eiga erfitt með andardrátt
Þinkuleysi	Hugsunarleysi
Bleikihagl	Él með hálfgagnsæjum haglkornum
Nosi	Reður hests
Alamandur	Mandla, sbr. enska orðið „almond"
Hundvís	Mjög vitur
Grjúpán	Bjúga
Linhnakka	Súluungi sem er að verða átuhæfur
Punghelda	Pungbindi
Haftaska	Sæbjúga af ákveðinni tegund
Dálpa	Sveifla hægt upp og niður, sbr. fuglinn dálpar vængjunum
Að kasta út morsiðrinu	Að láta af hendi síðasta trompið
Ölnarhrjóna	Útvöxtur á framhandleggsbeini
Balbumba	Hryssa með stóra bumbu
Tælitafn	Tálbeita
Skúlka	Að fylgjast ekki með í kennslustundum
Barlegur	Hress og kátur
Stjamp	Erfið viðureign
Tatteygður	Með hvasst augnaráð
Flughani	Fljótfær maður sem er veikur fyrir freistingum
Densilegur	Snyrtilegur
Simbalom	Strengjahljóðfæri sem leikið er á með tréhömrum. Upprunnið í Ungverjalandi.
Reik	Skipting í hári
Valskur	Franskur
Ilþorn	Kló á rándýri eða ránfugli
Drógsyrna	Hægfara maður
Þjasalegur	Letilegur. Þjasi er letingi.
Jólna sumbl	Skáldamjöður
Klúkna	Að kafna
Gnæfingi	Nýyrði yfir gíraffa, af sögnínni að gnæfa (hefur ekki náð fótfestu í málinu)
Kisukló	Gleym-mér-ei
Fallastakkur	Spik á kvíði hvals
Kaupamannastjarna	Kvöldstjarna sem kemur upp eftir sólsetur seinni hluta sumars. Er merki um lok vinnutíma
Ósæi	Handanheimur eða ósýnilegur heimur
Posasnigill	Lítill poki
Innanskömm	Vægur magaverkur
Komast á þrefa	Að berast í tal
Mænuskúm	Himna sem er utan um mænuna
Eskingur	Fingert fjúk, skafrenningur
Kattarbalsam	Íslensk plöntutegund, einnig nefnd hrafnaklukka
Fangbrekka	Staður þar sem glímukeppni fer fram
Óska tjöld	Óski er Óðinsheiti og Óska tjöld merkir skjöldur
Veðratoslegur	Mjósleginn og vesældarlegur
Korhnúsa	Dútla eða nostra við eitthvað
Aldarþopti	Æskuvinur
Fyrva	Að fjara út
Loftsveifa	Loftsteinn eða annað fyrirbæri sem sést svífa á lofti
Rakasáta	Síðasta barn hjóna
Stum	Ryk á húsgögnum
Belúdator	Annað nafn yfir Bagdad
